,Player,Average Total Rebounds,Average Total Blocks,Average Total Points,Cluster
241,Rudy Gobert,12.31,2.2,13.33,2
242,Ryan Anderson,3.5,0.0,2.5,1
243,Ryan Hollins,2.37,0.4,2.73,1
244,Salah Mejri,3.85,0.92,3.5,1
245,Samuel Dalembert,5.3,1.3,4.0,1
246,Sandro Mamukelashvili,4.1,0.3,5.77,1
247,Sasha Kaun,1.0,0.2,0.9,1
248,Serge Ibaka,5.9,0.8,9.87,2
249,Shawn Long,4.7,0.5,8.2,1
250,Sim Bhullar,0.3,0.3,0.7,1
251,Skal Labissière,5.1,0.9,5.8,1
252,Stephen Zimmerman,1.8,0.3,1.2,1
253,Steven Adams,8.9,1.0,9.87,2
254,Tacko Fall,2.3,0.73,2.3,1
255,Taj Gibson,4.05,0.65,4.82,1
256,Tarik Black,4.74,0.5,4.8,1
257,Thomas Bryant,4.81,0.64,8.66,1
258,Thomas Welsh,0.4,0.0,1.6,1
259,Thon Maker,2.56,0.58,4.4,1
260,Tiago Splitter,3.63,0.37,6.23,1
261,Tibor Pleiß,1.3,0.2,2.0,1
262,Tim Duncan,8.2,1.65,11.25,2
263,Timofey Mozgov,5.44,0.84,7.4,1
264,Tony Bradley,3.77,0.5,4.33,1
265,Trey Jemison,3.15,0.6,3.7,1
266,Tristan Thompson,6.93,0.53,7.43,2
267,Tristan Vukcevic,3.6,0.7,8.5,1
268,Tyler Davis,1.0,0.0,0.0,1
269,Tyler Zeller,3.72,0.41,5.66,1
270,Tyson Chandler,7.79,0.56,5.79,2
271,Udoka Azubuike,2.6,0.43,2.88,1
272,Udonis Haslem,2.03,0.09,2.63,1
273,Usman Garuba,4.1,0.4,3.0,1
274,Vernon Carey Jr.,1.5,0.2,2.22,1
275,Victor Wembanyama,10.6,3.6,21.4,2
276,Vincent Poirier,1.7,0.35,1.35,1
277,Walker Kessler,7.95,2.35,8.65,2
278,Wendell Carter Jr.,8.1,0.8,11.73,2
279,Wenyen Gabriel,4.2,0.5,5.5,1
280,Will Magnay,0.0,0.0,0.0,1
281,Willie Cauley-Stein,4.84,0.68,6.68,1
282,Willie Reed,2.8,0.52,3.9,1
283,Willy Hernangómez,5.4,0.36,6.98,1
284,Xavier Tillman Sr.,4.8,0.75,6.5,1
285,Zach Collins,4.96,0.76,8.32,1
286,Zaza Pachulia,6.14,0.32,6.46,1
287,Zhou Qi,1.2,0.8,1.2,1
288,Ángel Delgado,2.0,0.0,1.5,1
289,Ömer Aşık,5.26,0.38,3.26,1
