,Player,Average Total Blocks,Average Assists,Average Total Points,Cluster
231,Kevin Knox,0.2,0.52,4.9,2
232,Kevin Porter Jr.,0.3,2.2,10.0,1
233,Keyontae Johnson,0.0,0.4,1.2,2
234,Khris Middleton,0.19,4.37,17.57,1
235,Klay Thompson,0.45,2.35,19.9,1
236,Kobe Bryant,0.2,2.8,17.6,1
237,Kostas Papanikolaou,0.25,1.3,3.4,2
238,Kris Murray,0.3,1.3,6.1,2
239,Kyle Anderson,0.55,1.97,5.3,2
240,Kyle Collinsworth,0.3,1.8,3.2,2
241,Kyle Korver,0.2,1.2,6.7,2
242,Kyle Kuzma,0.6,1.9,12.9,1
243,Kyle Singler,0.18,0.56,3.78,2
244,Lamar Stevens,0.3,0.5,5.3,2
245,Lance Stephenson,0.15,2.1,9.45,1
246,Lance Thomas,0.0,0.9,5.1,2
247,Landry Fields,0.0,0.6,1.8,2
248,Lauri Markkanen,0.5,1.3,14.8,1
249,LeBron James,0.62,7.8,26.1,1
250,Leaky Black,0.4,0.9,2.7,2
251,Leandro Bolmaro,0.05,0.55,0.9,2
252,Leonard Miller,0.1,0.5,1.7,2
253,Louis King,0.2,0.97,4.6,2
254,Luc Mbah a Moute,0.4,0.5,6.1,2
255,Luguentz Dort,0.33,1.43,10.47,1
256,Luke Babbitt,0.16,0.62,4.9,2
257,Luol Deng,0.28,1.25,7.68,2
258,Malcolm Hill,0.05,0.2,2.2,2
259,Malcolm Miller,0.1,0.23,2.43,2
260,MarJon Beauchamp,0.1,0.65,4.75,2
261,Marcus Morris,0.33,1.97,15.9,1
262,Mario Hezonja,0.22,1.32,7.35,2
263,Martell Webster,0.0,0.5,3.3,2
264,Matisse Thybulle,0.55,0.95,4.05,2
265,Matt Barnes,0.57,2.17,8.35,1
266,Matt Ryan,0.0,0.35,3.92,2
267,Maurice Harkless,0.54,0.94,5.86,2
268,Max Strus,0.18,1.62,8.58,2
269,Maxwell Lewis,0.0,0.2,0.3,2
270,Metta World Peace,0.2,0.6,3.65,2
271,Michael Kidd-Gilchrist,0.62,1.27,10.5,1
272,Michael Porter Jr.,0.56,1.26,14.46,1
273,Mikal Bridges,0.6,2.58,13.65,1
274,Mike Dunleavy,0.22,1.25,6.7,2
275,Mike Miller,0.07,0.97,1.6,2
276,Miles Bridges,0.6,2.1,13.83,1
277,Mindaugas Kuzminskas,0.1,0.5,3.15,2
278,Mitch Creek,0.0,1.15,4.9,2
279,Miye Oni,0.2,0.4,3.5,2
280,Mychal Mulder,0.1,1.1,11.0,2
281,Myke Henry,0.3,1.1,5.4,2
282,Mãozinha Pereira,0.6,0.3,6.9,2
283,Naji Marshall,0.2,2.08,7.4,2
284,Nassir Little,0.5,0.9,6.6,2
285,Nicolas Batum,0.56,3.82,9.06,1
286,Nicolás Brussino,0.0,0.0,0.0,2
287,Nigel Hayes,0.2,0.6,2.7,2
288,Norman Powell,0.4,2.0,17.85,1
289,OG Anunoby,0.57,1.75,12.81,1
290,Omri Casspi,0.27,1.07,6.97,2
291,Oshae Brissett,0.4,0.8,6.4,2
292,Otto Porter Jr.,0.38,1.6,10.57,1
293,P.J. Hairston,0.15,0.55,6.45,2
294,P.J. Tucker,0.22,1.55,7.48,2
295,PJ Dozier,0.1,0.6,1.4,2
296,Paris Bass,0.0,0.0,3.0,2
297,Pat Connaughton,0.23,1.57,7.7,2
298,Patrick Baldwin Jr.,0.25,0.6,4.15,2
299,Patrick McCaw,0.05,1.45,2.8,2
300,Paul George,0.39,3.75,21.76,1
301,Paul Pierce,0.27,1.13,7.07,2
302,Paul Watson,0.12,0.9,2.85,2
303,Paul Zipser,0.35,0.85,4.75,2
304,Perry Jones,0.2,0.4,4.3,2
305,Peyton Watson,1.1,1.1,6.7,1
306,Quincy Pondexter,0.17,0.8,4.27,2
307,RJ Barrett,0.2,3.0,20.0,1
308,Rasual Butler,0.4,0.65,5.2,2
309,Reggie Bullock,0.16,0.88,5.67,2
310,Reggie Williams,0.0,0.6,3.2,2
311,Richard Jefferson,0.12,0.85,4.62,2
312,Robbie Hummel,0.2,0.6,4.4,2
313,Robert Covington,0.91,1.39,11.73,1
314,Robert Woodard II,0.15,0.25,1.05,2
315,Rodions Kurucs,0.27,0.67,4.23,2
316,Rodney Hood,0.18,0.92,5.55,2
317,Rondae Hollis-Jefferson,0.6,1.9,9.32,1
318,Royce O'Neale,0.45,2.45,6.9,1
319,Rudy Gay,0.73,2.73,19.0,1
320,Ryan Broekhoff,0.2,0.6,4.2,2
321,Saddiq Bey,0.16,1.74,13.68,1
322,Sam Hauser,0.23,0.77,5.97,2
323,Scottie Barnes,0.8,4.8,15.3,1
324,Sean McDermott,0.2,0.2,2.2,2
325,Sergey Karasev,0.1,0.9,2.4,2
326,Seth Lundy,0.0,0.0,1.6,2
327,Shabazz Muhammad,0.1,0.4,8.07,2
328,Shawn Marion,0.5,0.9,4.8,2
329,Shawne Williams,0.3,0.6,4.6,2
330,Sidy Cissoko,0.3,0.8,3.8,2
331,Simone Fontecchio,0.3,1.37,10.2,1
332,Sindarius Thornwell,0.5,2.0,8.0,1
333,Solomon Hill,0.22,1.5,4.57,2
334,Sonny Weems,0.0,0.3,2.4,2
335,Stanley Johnson,0.22,1.62,6.63,2
336,Sterling Brown,0.05,0.75,2.55,2
