,Player,Average Total Rebounds,Average Total Blocks,Average Total Points,Cluster
301,Patrick Williams,4.15,0.7,9.6,2
302,Pau Gasol,11.8,1.9,18.5,2
303,Paul George,6.05,0.45,23.45,2
304,Paul Millsap,6.93,0.96,14.24,2
305,Paul Reed,2.3,0.5,3.4,1
306,Pete Nance,0.4,0.0,0.4,1
307,Petr Cornelie,1.1,0.1,1.1,1
308,Precious Achiuwa,5.3,0.8,6.3,2
309,Quincy Acy,3.07,0.33,4.57,1
310,Quincy Miller,2.0,0.5,2.9,1
311,RaiQuan Gray,5.65,0.65,11.85,2
312,Rakeem Christmas,1.45,0.1,3.0,1
313,Ray Spalding,1.85,0.3,2.1,1
314,Reggie Evans,6.4,0.1,3.7,1
315,Reggie Perry,2.97,0.3,5.0,1
316,Richaun Holmes,4.35,0.7,6.35,1
317,Robert Covington,4.95,1.0,8.05,2
318,Robert Franks,2.0,0.4,6.1,1
319,Rodions Kurucs,1.75,0.05,2.6,1
320,Rodney Hood,1.7,0.1,3.3,1
321,Ron Harper Jr.,0.4,0.05,1.1,1
322,Rondae Hollis-Jefferson,3.55,0.4,4.75,1
323,Rudy Gay,4.9,0.48,10.12,2
324,Rui Hachimura,4.78,0.28,12.47,2
325,Ryan Anderson,4.05,0.22,9.67,1
326,Ryan Kelly,2.43,0.37,4.07,1
327,Sam Dekker,2.18,0.1,3.85,1
328,Sandro Mamukelashvili,2.0,0.2,3.8,1
329,Santi Aldama,4.43,0.6,7.93,1
330,Sasha Vezenkov,2.3,0.2,5.4,1
331,Scottie Barnes,7.5,0.7,15.3,2
332,Sekou Doumbouya,2.9,0.47,6.17,1
333,Semi Ojeleye,2.15,0.12,3.5,1
334,Serge Ibaka,6.9,1.72,13.76,2
335,Shavlik Randolph,2.0,0.15,1.25,1
336,Shayne Whittington,1.6,0.1,2.25,1
337,Skal Labissière,3.4,0.43,5.92,1
338,Solomon Hill,2.63,0.27,4.9,1
339,Spencer Hawes,3.6,0.52,5.88,1
340,Stanley Johnson,2.4,0.27,4.5,1
341,Steve Novak,0.45,0.02,1.62,1
342,T.J. Leaf,1.72,0.15,2.88,1
343,T.J. Warren,2.8,0.3,9.5,1
344,Taj Gibson,5.3,0.74,8.5,2
345,Tari Eason,6.5,0.75,9.55,2
346,Tariq Owens,1.0,0.0,1.3,1
347,Taurean Prince,3.38,0.43,9.27,1
348,Taylor Hendricks,4.6,0.8,7.3,2
349,Terrence Jones,3.96,0.78,6.58,1
350,Terry Taylor,2.38,0.18,4.45,1
351,Thabo Sefolosha,2.3,0.3,2.2,1
352,Thaddeus Young,5.17,0.35,9.62,2
353,Thanasis Antetokounmpo,0.8,0.1,1.15,1
354,Thomas Robinson,5.4,0.35,5.43,1
355,Thon Maker,3.7,1.1,5.5,1
356,Tobias Harris,6.56,0.55,17.85,2
357,Torrey Craig,5.4,0.8,7.4,2
358,Toumani Camara,4.9,0.5,7.5,1
359,Trayce Jackson-Davis,5.0,1.1,7.9,2
360,Trendon Watford,3.45,0.25,7.15,1
361,Trevor Booker,5.58,0.38,7.22,2
362,Trey Lyles,4.39,0.33,7.79,1
363,Tristan Thompson,8.5,0.65,8.15,2
364,Tyler Cavanaugh,2.0,0.05,2.75,1
365,Tyler Cook,1.37,0.07,1.87,1
366,Tyler Hansbrough,2.8,0.2,3.0,1
367,Tyler Lydon,0.35,0.0,0.45,1
368,Tyrus Thomas,0.0,0.0,2.0,1
369,Udonis Haslem,3.1,0.15,2.9,1
370,Usman Garuba,2.35,0.5,1.25,1
371,Vic Law,1.4,0.0,1.9,1
372,Vince Carter,2.35,0.4,6.2,1
373,Vince Hunter,0.8,0.3,1.5,1
374,Vlatko Čančar,1.52,0.12,3.1,1
375,Wendell Carter Jr.,10.5,0.7,15.0,2
376,Wenyen Gabriel,2.61,0.3,2.83,1
377,William Howard,1.0,0.0,0.0,1
378,Wilson Chandler,4.4,0.4,6.3,1
379,Xavier Cooks,3.8,0.4,3.8,1
380,Xavier Tillman Sr.,3.33,0.47,5.13,1
381,Yante Maten,1.5,0.0,1.0,1
382,Zach Collins,6.3,0.5,7.0,2
383,Zach Randolph,8.3,0.18,15.0,2
384,Zeke Nnaji,2.48,0.38,4.55,1
385,Zhou Qi,0.0,0.0,2.0,1
386,Zion Williamson,6.58,0.57,24.6,2
387,Zylan Cheatham,2.3,0.3,3.0,1
