,Player,Average Assists,Two-Point Percentage Average,Average Steals,Average Turnovers,Three-Point Percentage Average,Cluster
37,Coby White,3.88,47.55,0.65,1.8,36.85,1
38,Cole Anthony,4.15,46.15,0.68,2.0,34.42,1
39,Collin Gillespie,1.1,54.8,0.5,0.6,39.5,2
40,Collin Sexton,2.97,49.57,0.7,2.17,39.17,1
41,Cory Joseph,3.3,48.07,0.76,1.09,35.58,2
42,Craig Porter Jr.,2.3,53.6,0.4,0.9,35.3,2
43,D'Angelo Russell,5.87,48.96,1.05,2.79,36.93,1
44,D.J. Augustin,3.48,44.23,0.52,1.36,38.48,2
45,Daishen Nix,1.35,42.6,0.4,0.9,31.95,2
46,Dalano Banton,1.78,48.25,0.48,1.0,24.62,2
47,Damian Lillard,6.95,50.34,0.97,2.87,36.59,1
48,Dante Exum,2.54,49.68,0.42,1.22,33.36,2
49,Darius Garland,7.25,49.6,1.25,3.15,38.98,1
50,Darius Morris,1.3,39.7,0.2,0.6,21.2,2
51,Darren Collison,4.42,50.47,1.08,1.52,34.43,1
52,Daryl Macon,0.3,0.0,0.0,0.5,50.0,2
53,David Duke Jr.,0.8,42.3,0.6,0.4,24.3,2
54,David Stockton,1.5,25.0,0.35,0.8,58.35,2
55,Davion Mitchell,2.8,53.43,0.5,0.97,33.23,2
56,De'Aaron Fox,6.14,51.74,1.41,2.74,32.6,1
57,De'Anthony Melton,2.87,45.73,1.3,1.4,33.43,1
58,Dejounte Murray,4.58,47.36,1.32,1.78,33.38,1
59,Delon Wright,3.14,48.43,1.23,0.9,35.17,1
60,Demetrius Jackson,0.78,62.53,0.22,0.32,58.32,2
61,Dennis Schröder,5.07,46.93,0.81,2.31,34.52,1
62,Dennis Smith Jr.,3.83,44.03,1.13,1.77,25.84,1
63,Deron Williams,5.72,45.58,0.68,2.2,36.85,1
64,Derrick Rose,3.68,47.86,0.63,1.82,30.81,1
65,Derrick Walton,2.68,29.63,0.98,1.08,35.12,1
66,Derrick White,2.2,46.45,0.6,0.9,47.65,2
67,Devin Booker,6.9,55.2,0.9,2.6,36.4,1
68,Devin Cannady,1.05,20.85,0.8,0.65,39.0,2
69,Devin Harris,2.2,48.83,0.73,0.98,33.65,2
70,Devon Dotson,1.1,45.23,0.43,0.33,20.5,2
71,Devon Hall,1.2,15.4,0.4,0.5,23.5,2
72,Devonte' Graham,4.0,43.37,0.73,1.29,33.94,1
73,Donald Sloan,4.0,46.3,0.45,1.25,34.85,2
74,Donovan Mitchell,5.2,47.6,1.0,2.8,38.6,1
75,Duane Washington Jr.,1.8,43.4,0.5,1.2,37.7,2
76,Dwight Buycks,2.15,40.85,0.6,1.65,48.45,2
77,Dyson Daniels,2.5,52.15,1.05,1.0,31.25,1
78,Edmond Sumner,0.2,70.25,0.25,0.2,25.9,2
79,Elfrid Payton,5.77,46.96,1.14,2.2,27.33,1
80,Elie Okobo,2.25,45.1,0.5,1.0,32.35,2
81,Elliot Williams,0.8,16.7,0.0,0.2,25.0,2
82,Emmanuel Mudiay,3.46,37.36,0.67,1.9,31.28,1
83,Eric Bledsoe,5.21,50.48,1.5,2.89,33.42,1
84,Erick Green,0.5,45.45,0.17,0.1,18.27,2
85,Evan Turner,3.9,49.4,0.5,1.6,21.2,2
86,Facundo Campazzo,2.7,30.67,1.0,0.83,30.87,2
87,Frank Jackson,1.0,40.22,0.32,0.64,27.1,2
88,Frank Mason III,2.8,46.55,0.42,1.18,31.63,2
89,Frank Ntilikina,2.08,27.88,0.58,0.94,30.6,2
