,Player,Average Total Points,Average Steals,Average Turnovers,Average Assists,Cluster
238,Jordan Goodwin,0.0,0.0,0.0,0.0,1
239,Jordan Hawkins,7.8,0.3,0.6,1.0,1
240,Jordan McRae,7.44,0.38,0.72,1.44,1
241,Jordan Poole,14.18,0.75,1.8,3.18,2
242,Jordan Schakel,1.3,0.3,0.3,0.0,1
243,Jordan Sibert,3.0,0.0,0.0,0.0,1
244,Josh Christopher,6.85,0.7,1.2,1.55,1
245,Josh Giddey,12.3,0.6,2.1,4.8,2
246,Josh Green,6.17,0.65,0.85,1.48,1
247,Josh Hart,12.25,1.0,1.52,2.78,2
248,Josh Jackson,12.45,0.9,2.25,2.3,2
249,Josh Okogie,6.05,0.88,0.83,1.17,1
250,Josh Richardson,10.92,0.95,1.21,2.47,2
251,Joshua Primo,4.0,0.15,2.4,2.25,1
252,Jrue Holiday,19.77,1.57,2.9,6.8,2
253,Juan Toscano-Anderson,5.5,0.9,1.2,2.4,1
254,Jules Bernard,3.9,0.2,0.4,0.8,1
255,Julyan Stone,0.8,0.2,0.3,1.1,1
256,Justin Anderson,2.8,0.0,0.4,0.8,1
257,Justin Holiday,7.7,0.92,0.84,1.42,1
258,Justise Winslow,11.3,0.6,2.2,4.0,2
259,K.J. McDaniels,5.15,0.4,1.05,0.75,1
260,Kendall Brown,1.45,0.35,0.2,0.4,1
261,Kendrick Nunn,7.1,0.4,0.95,1.35,1
262,Kent Bazemore,9.9,1.17,1.73,2.27,2
263,Kentavious Caldwell-Pope,11.89,1.16,1.1,1.93,2
264,Keon Ellis,3.45,0.6,0.35,0.95,1
265,Keon Johnson,6.02,0.65,1.1,1.48,1
266,Kevin Huerter,11.84,0.96,1.26,3.14,2
267,Kevin Martin,12.27,0.6,1.27,1.43,1
268,Kevin Porter Jr.,16.6,0.7,3.5,6.3,2
269,Kevon Harris,3.05,0.25,0.55,0.5,1
270,Khris Middleton,18.2,1.7,2.3,4.2,2
271,Khyri Thomas,6.93,0.83,0.6,1.9,1
272,Kirk Hinrich,5.7,0.7,1.1,2.2,1
273,Klay Thompson,21.33,0.85,1.63,2.47,2
274,Kobe Bryant,22.3,1.3,3.7,5.6,2
275,Kobe Bufkin,4.8,0.4,0.6,1.6,1
276,Kobi Simmons,1.0,0.0,0.2,1.0,1
277,Kyle Guy,2.6,0.2,0.35,0.6,1
278,Kyle Korver,9.97,0.55,1.05,1.73,1
279,Kyrie Irving,26.3,1.3,1.85,5.6,2
280,Lamar Patterson,2.1,0.25,0.75,1.15,1
281,Lance Stephenson,6.69,0.37,1.43,2.93,1
282,Landry Shamet,8.84,0.49,0.73,1.71,1
283,Langston Galloway,5.57,0.38,0.52,1.32,1
284,Leandro Barbosa,6.6,0.57,0.73,1.3,1
285,Lester Hudson,3.6,1.2,0.6,1.0,1
286,Lester Quiñones,3.45,0.25,0.9,0.75,1
287,Lindy Waters III,5.6,0.4,0.27,0.77,1
288,Lonnie Walker IV,8.95,0.52,0.78,1.32,1
289,Lou Williams,17.82,0.95,2.02,3.48,2
290,Luguentz Dort,15.6,0.9,1.6,1.7,2
291,Luis Montero,0.6,0.0,0.65,0.05,1
292,Luka Dončić,21.2,1.1,3.4,6.0,2
293,Luke Kennard,10.42,0.49,1.0,2.29,1
294,M.J. Walker,0.0,1.0,0.0,0.5,1
295,Mac McClung,9.25,0.5,1.75,2.75,2
296,Malachi Richardson,2.62,0.15,0.3,0.25,1
297,Malaki Branham,10.2,0.5,1.2,1.9,1
298,Malcolm Brogdon,12.9,0.9,1.45,3.7,2
299,Malcolm Cazalon,0.0,0.0,0.0,0.0,1
300,Malcolm Hill,5.7,1.3,0.0,0.3,1
301,Malcolm Lee,0.0,0.0,0.0,0.0,1
302,Malik Beasley,11.44,0.62,0.9,1.35,1
303,Malik Monk,11.47,0.54,1.47,2.73,2
304,Malik Newman,2.0,0.0,1.0,0.0,1
305,Manny Harris,2.0,0.0,0.5,0.5,1
306,Manu Ginóbili,9.12,1.0,1.72,3.12,2
307,MarShon Brooks,13.35,0.95,1.5,2.25,2
308,Marco Belinelli,10.24,0.54,0.96,1.7,1
309,Marcus Garrett,1.1,0.4,0.2,0.6,1
310,Marcus Georges-Hunt,2.1,0.15,0.25,0.4,1
311,Marcus Smart,10.65,1.6,1.9,4.58,2
312,Marcus Thornton,7.5,0.68,0.74,1.02,1
313,Marial Shayok,2.8,0.0,0.8,0.3,1
314,Markel Brown,3.93,0.43,0.67,0.93,1
315,Markelle Fultz,7.65,0.9,1.25,3.45,2
316,Marko Gudurić,3.9,0.3,0.8,1.0,1
317,Markquis Nowell,2.0,1.0,0.0,2.0,1
318,Markus Howard,3.45,0.2,0.35,0.35,1
319,Mason Jones,4.18,0.28,0.5,1.0,1
320,Matisse Thybulle,5.43,1.6,0.65,1.18,1
321,Matt Mooney,0.25,0.75,0.5,0.15,1
322,Matt Thomas,3.8,0.15,0.3,0.45,1
323,Matt Williams,1.7,0.0,0.3,0.0,1
324,Matthew Dellavedova,4.8,0.4,0.9,3.0,1
325,Max Christie,3.65,0.25,0.4,0.7,1
326,Melvin Frazier,4.77,0.3,0.47,0.2,1
327,Michael Carter-Williams,8.0,0.95,1.7,3.3,2
328,Michael Frazier,2.1,0.2,0.4,0.2,1
329,Michael Gbinije,0.4,0.0,0.0,0.2,1
330,Mikal Bridges,26.1,1.0,1.8,2.7,2
331,Milton Doyle,3.4,0.6,0.2,1.0,1
332,Miye Oni,1.1,0.1,0.2,0.4,1
333,Monta Ellis,13.73,1.63,2.27,4.0,2
334,Moses Moody,5.77,0.33,0.5,0.7,1
335,Nate Darling,1.3,0.0,0.1,0.1,1
336,Nate Hinton,1.4,0.17,0.3,0.37,1
337,Naz Mitrou-Long,2.3,0.1,0.4,0.9,1
338,Nick Calathes,4.2,1.1,1.1,2.5,2
339,Nick Johnson,2.6,0.3,0.7,0.4,1
340,Nick Smith Jr.,5.9,0.2,0.8,1.2,1
341,Nick Young,8.7,0.4,0.64,0.72,1
342,Nickeil Alexander-Walker,7.6,0.61,1.06,2.0,1
343,Nicolas Batum,13.35,1.05,2.25,5.7,2
344,Nicolás Brussino,2.8,0.3,0.5,0.9,1
345,Nik Stauskas,5.17,0.32,0.7,1.04,1
346,Norman Powell,12.89,0.73,1.21,1.58,2
347,O.J. Mayo,9.6,1.0,1.8,2.85,2
348,Ochai Agbaji,6.67,0.5,0.83,1.1,1
349,Onuralp Bitim,3.5,0.1,0.4,0.6,1
350,Orlando Johnson,5.0,0.6,0.55,0.2,1
351,P.J. Hairston,5.6,0.5,0.5,0.5,1
352,PJ Dozier,5.52,0.5,0.62,1.6,1
353,Pat Connaughton,4.68,0.37,0.5,1.15,1
354,Patricio Garino,0.0,0.0,0.6,0.0,1
355,Patrick Beverley,9.37,1.37,1.57,3.23,2
356,Patrick Christopher,1.5,0.3,0.3,0.0,1
357,Patrick McCaw,3.1,0.7,0.68,1.05,1
358,Patty Mills,11.4,0.6,0.9,2.3,1
359,Payton Pritchard,7.7,0.6,0.8,1.8,1
360,Peyton Watson,3.3,0.1,0.3,0.5,1
361,Quentin Grimes,7.48,0.72,0.82,1.65,1
362,Quincy Pondexter,4.5,0.2,0.3,0.9,1
363,Quinndary Weatherspoon,2.03,0.27,0.43,0.63,1
364,R.J. Hampton,6.88,0.52,1.04,1.64,1
365,R.J. Hunter,5.88,0.5,0.18,1.0,1
366,RJ Barrett,18.3,0.64,2.12,2.98,2
367,RJ Nembhard Jr.,1.1,0.1,0.2,0.9,1
